RuleID,Type,Antecedent,Antecedent_Name,Antecedent_Category,Consequent,Consequent_Name,Consequent_Category,Support,Confidence,Lift,Co_occurrence,Antecedent_Orders,Explanation
R0011,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10002253,Imation Bio 8GB USB Flash Drive Imation Corp,Technology > Accessories,0.0008,0.0008,1.0,4,4916,"Top product in Accessories: 'Imation Bio 8GB USB Flash Drive Imation Corp' (4 orders, $2660 revenue)"
R0012,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003911,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,Technology > Accessories,0.001,0.001,1.0,5,4916,"Top product in Accessories: 'NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router' (5 orders, $2624 revenue)"
R0013,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003198,Enermax Acrylux Wireless Keyboard,Technology > Accessories,0.0012,0.0012,1.0,6,4916,"Top product in Accessories: 'Enermax Acrylux Wireless Keyboard' (6 orders, $2450 revenue)"
R0014,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Technology > Accessories,0.0016,0.0016,1.0,8,4916,"Top product in Accessories: 'Logitech Gaming G510s - Keyboard' (8 orders, $2363 revenue)"
R0015,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10004571,Logitech G700s Rechargeable Gaming Mouse,Technology > Accessories,0.0018,0.0018,1.0,9,4916,"Top product in Accessories: 'Logitech G700s Rechargeable Gaming Mouse' (9 orders, $2340 revenue)"
R0016,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10004171,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,Technology > Accessories,0.001,0.001,1.0,5,4916,"Top product in Accessories: 'Razer Kraken 7.1 Surround Sound Over Ear USB Gamin' (5 orders, $2300 revenue)"
R0017,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Technology > Accessories,0.0012,0.0012,1.0,6,4916,"Top product in Accessories: 'Plantronics S12 Corded Telephone Headset System' (6 orders, $2242 revenue)"
R0018,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10002402,Razer Kraken PRO Over Ear PC and Music Headset,Technology > Accessories,0.0016,0.0016,1.0,8,4916,"Top product in Accessories: 'Razer Kraken PRO Over Ear PC and Music Headset' (8 orders, $2160 revenue)"
R0019,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10003095,Logitech G35 7.1-Channel Surround Sound Headset,Technology > Accessories,0.0012,0.0012,1.0,6,4916,"Top product in Accessories: 'Logitech G35 7.1-Channel Surround Sound Headset' (6 orders, $2158 revenue)"
R0020,subcategory_product,SubCategory:Accessories,SubCategory: Accessories,Technology,Product:TEC-AC-10000990,Imation Bio 2GB USB Flash Drive Imation Corp,Technology > Accessories,0.0006,0.0006,1.0,3,4916,"Top product in Accessories: 'Imation Bio 2GB USB Flash Drive Imation Corp' (3 orders, $2099 revenue)"
R0021,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002945,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies > Appliances,0.0014,0.0014,1.0,7,4916,"Top product in Appliances: 'Honeywell Enviracaire Portable HEPA Air Cleaner fo' (7 orders, $8899 revenue)"
R0022,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: 'Hoover Upright Vacuum With Dirt Cup' (6 orders, $6833 revenue)"
R0023,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Office Supplies > Appliances,0.0006,0.0006,1.0,3,4916,"Top product in Appliances: 'Sanyo Counter Height Refrigerator with Crisper, 3.' (3 orders, $5907 revenue)"
R0024,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: 'Hoover Shoulder Vac Commercial Portable Vacuum' (6 orders, $5009 revenue)"
R0025,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies > Appliances,0.0008,0.0008,1.0,4,4916,"Top product in Appliances: 'Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators' (4 orders, $4477 revenue)"
R0026,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10000576,Belkin 7 Outlet SurgeMaster II,Office Supplies > Appliances,0.0014,0.0014,1.0,7,4916,"Top product in Appliances: 'Belkin 7 Outlet SurgeMaster II' (7 orders, $4022 revenue)"
R0027,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies > Appliances,0.0006,0.0006,1.0,3,4916,"Top product in Appliances: 'Honeywell Enviracaire Portable HEPA Air Cleaner fo' (3 orders, $3855 revenue)"
R0028,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,Office Supplies > Appliances,0.0006,0.0006,1.0,3,4916,"Top product in Appliances: 'Hoover WindTunnel Plus Canister Vacuum' (3 orders, $3051 revenue)"
R0029,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: 'Avanti 4.4 Cu. Ft. Refrigerator' (6 orders, $2968 revenue)"
R0030,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002534,3.6 Cubic Foot Counter Height Office Refrigerator,Office Supplies > Appliances,0.001,0.001,1.0,5,4916,"Top product in Appliances: '3.6 Cubic Foot Counter Height Office Refrigerator' (5 orders, $2946 revenue)"
R0031,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Office Supplies > Appliances,0.001,0.001,1.0,5,4916,"Top product in Appliances: 'Kensington 7 Outlet MasterPiece Power Center' (5 orders, $2883 revenue)"
R0032,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: 'Acco 7-Outlet Masterpiece Power Center, Wihtout Fa' (6 orders, $2796 revenue)"
R0033,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: '1.7 Cubic Foot Compact ""Cube"" Office Refrigerators' (6 orders, $2706 revenue)"
R0034,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies > Appliances,0.001,0.001,1.0,5,4916,"Top product in Appliances: 'Kensington 7 Outlet MasterPiece HOMEOFFICE Power C' (5 orders, $2491 revenue)"
R0035,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10004487,Kensington 4 Outlet MasterPiece Compact Power Control Center,Office Supplies > Appliances,0.0014,0.0014,1.0,7,4916,"Top product in Appliances: 'Kensington 4 Outlet MasterPiece Compact Power Cont' (7 orders, $2488 revenue)"
R0036,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10000938,Avanti 1.7 Cu. Ft. Refrigerator,Office Supplies > Appliances,0.0008,0.0008,1.0,4,4916,"Top product in Appliances: 'Avanti 1.7 Cu. Ft. Refrigerator' (4 orders, $2222 revenue)"
R0037,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10001394,Harmony Air Purifier,Office Supplies > Appliances,0.001,0.001,1.0,5,4916,"Top product in Appliances: 'Harmony Air Purifier' (5 orders, $1947 revenue)"
R0038,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,Office Supplies > Appliances,0.002,0.002,1.0,10,4916,"Top product in Appliances: 'Belkin 5 Outlet SurgeMaster Power Centers' (10 orders, $1776 revenue)"
R0039,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10001005,Honeywell Quietcare HEPA Air Cleaner,Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: 'Honeywell Quietcare HEPA Air Cleaner' (6 orders, $1762 revenue)"
R0040,subcategory_product,SubCategory:Appliances,SubCategory: Appliances,Office Supplies,Product:OFF-AP-10002457,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Office Supplies > Appliances,0.0012,0.0012,1.0,6,4916,"Top product in Appliances: 'Eureka The Boss Plus 12-Amp Hard Box Upright Vacuu' (6 orders, $1674 revenue)"
R0041,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies > Art,0.002,0.002,1.0,10,4916,"Top product in Art: 'Hunt PowerHouse Electric Pencil Sharpener, Blue' (10 orders, $1618 revenue)"
R0042,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies > Art,0.001,0.001,1.0,5,4916,"Top product in Art: 'Boston Heavy-Duty Trimline Electric Pencil Sharpen' (5 orders, $1166 revenue)"
R0043,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies > Art,0.0002,0.0002,1.0,1,4916,"Top product in Art: 'Hunt BOSTON Model 1606 High-Volume Electric Pencil' (1 orders, $1113 revenue)"
R0044,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Office Supplies > Art,0.0014,0.0014,1.0,7,4916,"Top product in Art: 'Boston 1645 Deluxe Heavier-Duty Electric Pencil Sh' (7 orders, $1073 revenue)"
R0045,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies > Art,0.0014,0.0014,1.0,7,4916,"Top product in Art: 'Boston School Pro Electric Pencil Sharpener, 1670' (7 orders, $874 revenue)"
R0046,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10004022,Panasonic KP-380BK Classic Electric Pencil Sharpener,Office Supplies > Art,0.0012,0.0012,1.0,6,4916,"Top product in Art: 'Panasonic KP-380BK Classic Electric Pencil Sharpen' (6 orders, $705 revenue)"
R0047,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10004010,Hunt Boston Vacuum Mount KS Pencil Sharpener,Office Supplies > Art,0.001,0.001,1.0,5,4916,"Top product in Art: 'Hunt Boston Vacuum Mount KS Pencil Sharpener' (5 orders, $672 revenue)"
R0048,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10001044,"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies > Art,0.0018,0.0018,1.0,9,4916,"Top product in Art: 'BOSTON Ranger #55 Pencil Sharpener, Black' (9 orders, $619 revenue)"
R0049,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10003903,Sanford 52201 APSCO Electric Pencil Sharpener,Office Supplies > Art,0.0008,0.0008,1.0,4,4916,"Top product in Art: 'Sanford 52201 APSCO Electric Pencil Sharpener' (4 orders, $565 revenue)"
R0050,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10004602,Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies > Art,0.0014,0.0014,1.0,7,4916,"Top product in Art: 'Boston KS Multi-Size Manual Pencil Sharpener' (7 orders, $533 revenue)"
R0051,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10002067,Newell 334,Office Supplies > Art,0.0012,0.0012,1.0,6,4916,"Top product in Art: 'Newell 334' (6 orders, $532 revenue)"
R0052,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10003582,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies > Art,0.0016,0.0016,1.0,8,4916,"Top product in Art: 'Boston Electric Pencil Sharpener, Model 1818, Char' (8 orders, $524 revenue)"
R0053,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10001955,Newell 319,Office Supplies > Art,0.0016,0.0016,1.0,8,4916,"Top product in Art: 'Newell 319' (8 orders, $512 revenue)"
R0054,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies > Art,0.0012,0.0012,1.0,6,4916,"Top product in Art: 'BOSTON Model 1800 Electric Pencil Sharpeners, Putt' (6 orders, $496 revenue)"
R0055,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10000588,Newell 345,Office Supplies > Art,0.0018,0.0018,1.0,9,4916,"Top product in Art: 'Newell 345' (9 orders, $476 revenue)"
R0056,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10001615,Newell 34,Office Supplies > Art,0.0014,0.0014,1.0,7,4916,"Top product in Art: 'Newell 34' (7 orders, $460 revenue)"
R0057,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10002240,Panasonic KP-150 Electric Pencil Sharpener,Office Supplies > Art,0.0006,0.0006,1.0,3,4916,"Top product in Art: 'Panasonic KP-150 Electric Pencil Sharpener' (3 orders, $453 revenue)"
R0058,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,Office Supplies > Art,0.0012,0.0012,1.0,6,4916,"Top product in Art: 'Boston 16801 Nautilus Battery Pencil Sharpener' (6 orders, $445 revenue)"
R0059,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10000937,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Office Supplies > Art,0.0004,0.0004,1.0,2,4916,"Top product in Art: 'Dixon Ticonderoga Core-Lock Colored Pencils, 48-Co' (2 orders, $431 revenue)"
R0060,subcategory_product,SubCategory:Art,SubCategory: Art,Office Supplies,Product:OFF-AR-10001897,Model L Table or Wall-Mount Pencil Sharpener,Office Supplies > Art,0.001,0.001,1.0,5,4916,"Top product in Art: 'Model L Table or Wall-Mount Pencil Sharpener' (5 orders, $403 revenue)"
R0061,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies > Binders,0.002,0.002,1.0,10,4916,"Top product in Binders: 'Fellowes PB500 Electric Punch Plastic Comb Binding' (10 orders, $27453 revenue)"
R0062,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10001359,GBC DocuBind TL300 Electric Binding System,Office Supplies > Binders,0.0022,0.0022,1.0,11,4916,"Top product in Binders: 'GBC DocuBind TL300 Electric Binding System' (11 orders, $19823 revenue)"
R0063,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10000545,GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies > Binders,0.0018,0.0018,1.0,9,4916,"Top product in Binders: 'GBC Ibimaster 500 Manual ProClick Binding System' (9 orders, $19024 revenue)"
R0064,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004995,GBC DocuBind P400 Electric Binding System,Office Supplies > Binders,0.0012,0.0012,1.0,6,4916,"Top product in Binders: 'GBC DocuBind P400 Electric Binding System' (6 orders, $17965 revenue)"
R0065,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies > Binders,0.0006,0.0006,1.0,3,4916,"Top product in Binders: 'Ibico EPK-21 Electric Binding System' (3 orders, $15876 revenue)"
R0066,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,Office Supplies > Binders,0.0028,0.0028,1.0,14,4916,"Top product in Binders: 'Ibico Hi-Tech Manual Binding System' (14 orders, $11071 revenue)"
R0067,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies > Binders,0.0012,0.0012,1.0,6,4916,"Top product in Binders: 'Fellowes PB300 Plastic Comb Binding Machine' (6 orders, $8070 revenue)"
R0068,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004600,Ibico Ibimaster 300 Manual Binding System,Office Supplies > Binders,0.0014,0.0014,1.0,7,4916,"Top product in Binders: 'Ibico Ibimaster 300 Manual Binding System' (7 orders, $7249 revenue)"
R0069,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Office Supplies > Binders,0.0016,0.0016,1.0,8,4916,"Top product in Binders: 'GBC DocuBind 300 Electric Binding Machine' (8 orders, $6785 revenue)"
R0070,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies > Binders,0.0012,0.0012,1.0,6,4916,"Top product in Binders: 'GBC DocuBind TL200 Manual Binding Machine' (6 orders, $4323 revenue)"
R0071,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004390,GBC DocuBind 200 Manual Binding Machine,Office Supplies > Binders,0.0008,0.0008,1.0,4,4916,"Top product in Binders: 'GBC DocuBind 200 Manual Binding Machine' (4 orders, $4210 revenue)"
R0072,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10002026,Avery Arch Ring Binders,Office Supplies > Binders,0.0026,0.0026,1.0,13,4916,"Top product in Binders: 'Avery Arch Ring Binders' (13 orders, $3263 revenue)"
R0073,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004318,Ibico EB-19 Dual Function Manual Binding System,Office Supplies > Binders,0.0016,0.0016,1.0,8,4916,"Top product in Binders: 'Ibico EB-19 Dual Function Manual Binding System' (8 orders, $3235 revenue)"
R0074,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004584,GBC ProClick 150 Presentation Binding System,Office Supplies > Binders,0.001,0.001,1.0,5,4916,"Top product in Binders: 'GBC ProClick 150 Presentation Binding System' (5 orders, $3223 revenue)"
R0075,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies > Binders,0.0016,0.0016,1.0,8,4916,"Top product in Binders: 'Fellowes PB200 Plastic Comb Binding Machine' (8 orders, $3094 revenue)"
R0076,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Office Supplies > Binders,0.0016,0.0016,1.0,8,4916,"Top product in Binders: 'GBC DocuBind P100 Manual Binding Machine' (8 orders, $2954 revenue)"
R0077,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10001718,GBC DocuBind P50 Personal Binding Machine,Office Supplies > Binders,0.002,0.002,1.0,10,4916,"Top product in Binders: 'GBC DocuBind P50 Personal Binding Machine' (10 orders, $2265 revenue)"
R0078,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10001071,GBC ProClick Punch Binding System,Office Supplies > Binders,0.0014,0.0014,1.0,7,4916,"Top product in Binders: 'GBC ProClick Punch Binding System' (7 orders, $1574 revenue)"
R0079,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10000632,Satellite Sectional Post Binders,Office Supplies > Binders,0.0022,0.0022,1.0,11,4916,"Top product in Binders: 'Satellite Sectional Post Binders' (11 orders, $1220 revenue)"
R0080,subcategory_product,SubCategory:Binders,SubCategory: Binders,Office Supplies,Product:OFF-BI-10001597,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies > Binders,0.0022,0.0022,1.0,11,4916,"Top product in Binders: 'Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", ' (11 orders, $1201 revenue)"
R0081,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,Furniture > Bookcases,0.002,0.002,1.0,10,4916,"Top product in Bookcases: 'DMI Eclipse Executive Suite Bookcases' (10 orders, $25843 revenue)"
R0082,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture > Bookcases,0.0008,0.0008,1.0,4,4916,"Top product in Bookcases: 'Riverside Palais Royal Lawyers Bookcase, Royale Ch' (4 orders, $11206 revenue)"
R0083,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture > Bookcases,0.0016,0.0016,1.0,8,4916,"Top product in Bookcases: 'Atlantic Metals Mobile 3-Shelf Bookcases, Custom C' (8 orders, $7540 revenue)"
R0084,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture > Bookcases,0.0016,0.0016,1.0,8,4916,"Top product in Bookcases: 'Atlantic Metals Mobile 5-Shelf Bookcases, Custom C' (8 orders, $5493 revenue)"
R0085,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture > Bookcases,0.0012,0.0012,1.0,6,4916,"Top product in Bookcases: 'Atlantic Metals Mobile 4-Shelf Bookcases, Custom C' (6 orders, $5184 revenue)"
R0086,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture > Bookcases,0.0014,0.0014,1.0,7,4916,"Top product in Bookcases: 'O'Sullivan 2-Door Barrister Bookcase in Odessa Pin' (7 orders, $4886 revenue)"
R0087,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",Furniture > Bookcases,0.0004,0.0004,1.0,2,4916,"Top product in Bookcases: 'Global Adaptabilites Bookcase, Cherry/Storm Gray F' (2 orders, $3448 revenue)"
R0088,subcategory_product,SubCategory:Bookcases,SubCategory: Bookcases,Furniture,Product:FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture > Bookcases,0.0012,0.0012,1.0,6,4916,"Top product in Bookcases: 'O'Sullivan Living Dimensions 5-Shelf Bookcases' (6 orders, $3421 revenue)"
